Word,POS,IOB,Tag
ST,NNP,B-NP,B-PROBLEM
elevation,NN,I-NP,I-PROBLEM
myocardial,JJ,B-NP,I-PROBLEM
infarction,NN,I-NP,I-PROBLEM
Hypertension,NNP,B-NP,B-PROBLEM
recently,RB,O,B-PROBLEM
diagnosed,VBN,O,I-PROBLEM
abdominal,JJ,B-NP,I-PROBLEM
carcinomatosis,NN,I-NP,I-PROBLEM
abdominal,JJ,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
bloating,NN,B-NP,B-PROBLEM
a,DT,B-NP,B-PROBLEM
large,JJ,I-NP,I-PROBLEM
omental,JJ,I-NP,I-PROBLEM
mass,NN,I-NP,I-PROBLEM
adenocarcinoma,NN,B-NP,B-PROBLEM
hepatobiliary,JJ,B-NP,B-PROBLEM
origin,NN,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
extrinsic,JJ,I-NP,I-PROBLEM
mass,NN,I-NP,I-PROBLEM
present,NN,I-NP,I-PROBLEM
on,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
stomach,NN,I-NP,I-PROBLEM
increased,JJ,B-NP,B-PROBLEM
abdominal,JJ,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
poor,JJ,B-NP,B-PROBLEM
oral,JJ,I-NP,I-PROBLEM
intake,NN,I-NP,I-PROBLEM
generalized,VBN,O,B-PROBLEM
weakness,NN,B-NP,I-PROBLEM
chest,JJS,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
shortness,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
cough,NN,B-NP,B-PROBLEM
increased,JJ,B-NP,B-PROBLEM
vomiting,NN,I-NP,I-PROBLEM
increased,JJ,B-NP,B-PROBLEM
shortness,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
difficulty,NN,I-NP,B-PROBLEM
catching,VBG,O,I-PROBLEM
his,PRP$,O,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
left,JJ,I-NP,I-PROBLEM
pleural,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
pulmonary,JJ,B-NP,B-PROBLEM
embolism,NN,I-NP,I-PROBLEM
subsegmental,JJ,I-NP,B-PROBLEM
pulmonary,JJ,I-NP,I-PROBLEM
emboli,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
upper,JJ,I-NP,I-PROBLEM
lobes,NN,I-NP,I-PROBLEM
infiltrates,NNS,B-NP,B-PROBLEM
aspiration,NN,B-NP,B-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
pneumonia,NN,B-NP,B-PROBLEM
the,DT,B-NP,B-PROBLEM
pulmonary,JJ,I-NP,I-PROBLEM
emboli,NN,I-NP,I-PROBLEM
increasing,VBG,O,B-PROBLEM
abdominal,JJ,B-NP,I-PROBLEM
distention,NN,I-NP,I-PROBLEM
fluid,NN,B-NP,B-PROBLEM
persistent,VB,O,B-PROBLEM
gastric,JJ,B-NP,I-PROBLEM
secretions,NNS,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
gastric,JJ,I-NP,I-PROBLEM
secretions,NNS,I-NP,I-PROBLEM
respiratory,NN,B-NP,B-PROBLEM
status,NN,I-NP,I-PROBLEM
declined,VBD,B-VP,I-PROBLEM
further,RB,O,I-PROBLEM
an,DT,O,B-PROBLEM
increasing,VBG,O,I-PROBLEM
left-sided,JJ,B-NP,I-PROBLEM
pleural,JJ,I-NP,I-PROBLEM
effusion,NN,I-NP,I-PROBLEM
fluid,NN,B-NP,B-PROBLEM
fluid,NN,B-NP,B-PROBLEM
decline,VB,O,B-PROBLEM
an,DT,B-NP,B-PROBLEM
acute,JJ,I-NP,I-PROBLEM
inferior,JJ,I-NP,I-PROBLEM
myocardial,JJ,I-NP,I-PROBLEM
infarction,NN,I-NP,I-PROBLEM
recurrent,NN,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
proximal,JJ,I-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
coronary,JJ,I-NP,I-PROBLEM
artery,NN,I-NP,I-PROBLEM
lesion,NN,I-NP,I-PROBLEM
stable,VBN,O,B-PROBLEM
",",",",O,I-PROBLEM
mild,JJ,B-NP,I-PROBLEM
angina,NN,I-NP,I-PROBLEM
stress,NN,B-NP,B-PROBLEM
substernal,JJ,B-NP,B-PROBLEM
chest,NN,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
This,DT,O,B-PROBLEM
waxed,JJ,O,I-PROBLEM
and,CC,O,I-PROBLEM
waned,VBD,B-VP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
increased,VBN,O,B-PROBLEM
T,NNP,B-NP,I-PROBLEM
wave,VBP,O,I-PROBLEM
inversions,NNS,B-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
V3,NNP,B-NP,I-PROBLEM
ST,NNP,B-NP,B-PROBLEM
segment,NN,I-NP,I-PROBLEM
depression,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
V3,NNP,B-NP,I-PROBLEM
pain,NN,B-NP,B-PROBLEM
afebrile,RB,O,B-PROBLEM
distended,VBN,O,B-PROBLEM
diminished,VBN,O,B-PROBLEM
a,DT,B-NP,B-PROBLEM
grade,JJ,I-NP,I-PROBLEM
II-II,NNP,I-NP,I-PROBLEM
apical,NN,I-NP,I-PROBLEM
and,CC,O,I-PROBLEM
systolic,JJ,B-NP,I-PROBLEM
murmur,NN,I-NP,I-PROBLEM
edema,NN,I-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
feet,NNS,I-NP,I-PROBLEM
poor,JJ,B-NP,B-PROBLEM
R,NNP,I-NP,I-PROBLEM
wave,NN,I-NP,I-PROBLEM
progression,NN,I-NP,I-PROBLEM
left,VBD,B-VP,B-PROBLEM
atrial,JJ,B-NP,I-PROBLEM
enlargement,NN,I-NP,I-PROBLEM
T,NNP,B-NP,B-PROBLEM
wave,VBP,O,I-PROBLEM
inversion,NN,B-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
leads,VBZ,O,I-PROBLEM
V,NNP,B-NP,I-PROBLEM
4,CD,O,I-PROBLEM
",",",",O,I-PROBLEM
5,CD,O,I-PROBLEM
chest,JJS,B-NP,B-PROBLEM
discomfort,NN,I-NP,I-PROBLEM
vomiting,VBG,O,B-PROBLEM
shortness,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
ST,NNP,B-NP,B-PROBLEM
depressions,NNS,I-NP,I-PROBLEM
elevated,VBN,O,B-PROBLEM
coronary,JJ,B-NP,B-PROBLEM
disease,NN,I-NP,I-PROBLEM
three,CD,O,B-PROBLEM
vessel,NN,B-NP,I-PROBLEM
coronary,JJ,B-NP,I-PROBLEM
artery,NN,I-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
carotid,JJ,B-NP,B-PROBLEM
stenosis,NN,I-NP,I-PROBLEM
aphasia,NN,B-NP,B-PROBLEM
deficits,NNS,B-NP,B-PROBLEM
TIA,NNP,B-NP,B-PROBLEM
change,NN,B-NP,B-PROBLEM
in,IN,B-VP,I-PROBLEM
neuro,NN,B-NP,I-PROBLEM
status,NN,I-NP,I-PROBLEM
bilateral,JJ,B-NP,B-PROBLEM
DVT,NNP,I-NP,I-PROBLEM
complications,NNS,I-NP,B-PROBLEM
increased,JJ,B-NP,B-PROBLEM
respiratory,NN,I-NP,I-PROBLEM
secretions,NNS,I-NP,I-PROBLEM
elevated,VBN,O,B-PROBLEM
fever,NN,B-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
patient,NN,I-NP,I-PROBLEM
&apos;s,NNP,I-NP,I-PROBLEM
delirium,NN,I-NP,I-PROBLEM
aspiration,NN,I-NP,B-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
aspiration,NN,I-NP,I-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
positive,JJ,B-NP,B-PROBLEM
urine,JJ,I-NP,I-PROBLEM
culture,NN,I-NP,I-PROBLEM
some,DT,B-NP,B-PROBLEM
wheezing,NN,I-NP,I-PROBLEM
unresponsive,JJ,O,B-PROBLEM
fixed,JJ,O,B-PROBLEM
dilated,VBN,O,I-PROBLEM
pupils,NNS,B-NP,I-PROBLEM
certified,VBN,O,B-PROBLEM
dead,JJ,O,I-PROBLEM
fall,NN,I-NP,B-PROBLEM
loss,NN,I-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
consciousness,NN,B-NP,I-PROBLEM
event,NN,I-NP,B-PROBLEM
confused,JJ,O,B-PROBLEM
parietal,JJ,I-NP,B-PROBLEM
subdural,JJ,I-NP,I-PROBLEM
bleed,NN,I-NP,I-PROBLEM
on,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
side,NN,I-NP,I-PROBLEM
complicated,VBN,O,B-PROBLEM
a,DT,B-NP,B-PROBLEM
congenital,JJ,I-NP,I-PROBLEM
cystic,JJ,I-NP,I-PROBLEM
adenomatoid,NN,I-NP,I-PROBLEM
malformation,NN,I-NP,I-PROBLEM
CCAM,NNP,B-NP,B-PROBLEM
cerebrovascular,JJ,B-NP,B-PROBLEM
accident,NN,I-NP,I-PROBLEM
atrial,JJ,B-NP,B-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
hypothyroidism,NN,B-NP,B-PROBLEM
dementia,NN,B-NP,B-PROBLEM
abdominal,JJ,B-NP,B-PROBLEM
distention,NN,I-NP,I-PROBLEM
emesis,NN,B-NP,B-PROBLEM
constipation,NN,B-NP,B-PROBLEM
chest,NN,I-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
shortness,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
fever,NN,B-NP,B-PROBLEM
nausea,NN,I-NP,B-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
chills,NNS,B-NP,B-PROBLEM
dysuria,NNS,B-NP,B-PROBLEM
hematochezia,NN,B-NP,B-PROBLEM
melena,NN,B-NP,B-PROBLEM
this,DT,B-NP,B-PROBLEM
constipation,NN,I-NP,I-PROBLEM
volvulus,NN,B-NP,B-PROBLEM
volvulus,NN,B-NP,B-PROBLEM
obvious,JJ,I-NP,B-PROBLEM
mucosal,NN,I-NP,I-PROBLEM
abnormalities,NNS,I-NP,I-PROBLEM
mucous,JJ,O,B-PROBLEM
like,IN,B-VP,I-PROBLEM
stool,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
large,JJ,I-NP,I-PROBLEM
amount,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
gas,NN,B-NP,I-PROBLEM
significantly,RB,O,B-PROBLEM
less,JJR,O,I-PROBLEM
distended,JJ,O,I-PROBLEM
her,PRP$,O,B-PROBLEM
pain,NN,B-NP,I-PROBLEM
far,RB,O,B-PROBLEM
less,RBR,O,I-PROBLEM
distended,JJ,O,I-PROBLEM
afebrile,JJ,O,B-PROBLEM
volvulus,NN,B-NP,B-PROBLEM
dyspnea,NN,B-NP,B-PROBLEM
severe,JJ,B-NP,B-PROBLEM
heart,NN,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
CMV,NNP,B-NP,B-PROBLEM
infection,NN,I-NP,I-PROBLEM
hypertension,NN,B-NP,B-PROBLEM
poorly,RB,O,B-PROBLEM
controlled,VBN,O,I-PROBLEM
lipids,NNS,B-NP,I-PROBLEM
peripheral,JJ,B-NP,B-PROBLEM
vascular,JJ,I-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
chronic,JJ,B-NP,B-PROBLEM
renal,JJ,I-NP,I-PROBLEM
insufficiency,NN,I-NP,I-PROBLEM
coronary,JJ,B-NP,B-PROBLEM
angiography,NN,I-NP,I-PROBLEM
atherosclerosis,NN,B-NP,B-PROBLEM
progression,NN,I-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
coronary,JJ,B-NP,I-PROBLEM
allograft,NN,I-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
grade,JJ,O,B-PROBLEM
1B,CD,O,I-PROBLEM
rejection,NN,B-NP,I-PROBLEM
endothelialitis,NN,B-NP,B-PROBLEM
eosinophils,NNS,B-NP,B-PROBLEM
cariogenic,JJ,B-NP,B-PROBLEM
pulmonary,JJ,I-NP,I-PROBLEM
edema,NN,I-NP,I-PROBLEM
mild,JJ,B-NP,B-PROBLEM
congestive,JJ,I-NP,I-PROBLEM
heart,NN,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
pericardial,JJ,I-NP,B-PROBLEM
effusion,NN,I-NP,I-PROBLEM
aggressive,JJ,B-NP,B-PROBLEM
coronary,JJ,I-NP,I-PROBLEM
allograft,NN,I-NP,I-PROBLEM
vasculopathy,NN,I-NP,I-PROBLEM
cardiac,JJ,B-NP,B-PROBLEM
arrest,NN,I-NP,I-PROBLEM
sinus,JJ,B-NP,B-PROBLEM
tachycardia,NN,I-NP,I-PROBLEM
ventricular,JJ,B-NP,B-PROBLEM
tachycardia,NN,I-NP,I-PROBLEM
ventricular,JJ,B-NP,B-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
dead,JJ,O,B-PROBLEM
rheumatic,JJ,B-NP,B-PROBLEM
fever,NN,I-NP,I-PROBLEM
chronic,VBN,O,B-PROBLEM
atrial,JJ,B-NP,I-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
progressive,JJ,B-NP,B-PROBLEM
heart,NN,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
worsening,VBG,O,B-PROBLEM
mitral,JJ,B-NP,I-PROBLEM
stenosis,NN,I-NP,I-PROBLEM
severe,JJ,B-NP,B-PROBLEM
pulmonary,JJ,I-NP,I-PROBLEM
hypertension,NN,I-NP,I-PROBLEM
severe,JJ,B-NP,B-PROBLEM
mitral,JJ,I-NP,I-PROBLEM
stenosis,NN,I-NP,I-PROBLEM
secondary,JJ,B-NP,B-PROBLEM
tricuspid,JJ,I-NP,I-PROBLEM
valve,NN,I-NP,I-PROBLEM
regurgitation,NN,I-NP,I-PROBLEM
pulmonary,JJ,B-NP,B-PROBLEM
hypertension,NN,I-NP,I-PROBLEM
sinus,NN,B-NP,B-PROBLEM
rhythm,NN,I-NP,I-PROBLEM
atrial,JJ,B-NP,B-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
initially,RB,O,B-PROBLEM
slightly,RB,O,I-PROBLEM
agitated,VBN,O,I-PROBLEM
confused,VBN,O,B-PROBLEM
an,DT,B-NP,B-PROBLEM
Intensive,NNP,I-NP,I-PROBLEM
Care,NNP,I-NP,I-PROBLEM
Unit,NNP,I-NP,I-PROBLEM
psychosis,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
slow,JJ,I-NP,I-PROBLEM
ventricular,NN,I-NP,I-PROBLEM
response,NN,I-NP,I-PROBLEM
atrial,JJ,B-NP,B-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
somewhat,RB,O,B-PROBLEM
anemic,JJ,O,I-PROBLEM
resolving,VBG,O,B-PROBLEM
edema,NN,B-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
clear,JJ,I-NP,I-PROBLEM
chest,NN,I-NP,I-PROBLEM
locally,RB,O,B-PROBLEM
invasive,JJ,B-NP,I-PROBLEM
prostate,NN,I-NP,I-PROBLEM
cancer,NN,I-NP,I-PROBLEM
atrial,JJ,B-NP,B-PROBLEM
fibrillation,NN,I-NP,I-PROBLEM
postoperative,JJ,B-NP,B-PROBLEM
bleeding,NN,I-NP,I-PROBLEM
fevers,NNS,B-NP,B-PROBLEM
fevers,NNS,B-NP,B-PROBLEM
erythema,VB,O,B-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
fluid,NN,I-NP,I-PROBLEM
collection,NN,I-NP,I-PROBLEM
erythema,NN,B-NP,B-PROBLEM
The,DT,B-NP,B-PROBLEM
fevers,NNS,I-NP,I-PROBLEM
chills,NNS,B-NP,B-PROBLEM
pus,NN,B-NP,B-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
site,NN,I-NP,I-PROBLEM
discomfort,NN,B-NP,B-PROBLEM
afebrile,JJ,O,B-PROBLEM
The,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
erythema,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
afebrile,JJ,O,B-PROBLEM
gram-positive,JJ,B-NP,B-PROBLEM
cocci,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
clusters,NNS,B-NP,I-PROBLEM
gram-negative,JJ,B-NP,B-PROBLEM
rods,NNS,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
enterocutaneous,JJ,I-NP,I-PROBLEM
fistula,NN,I-NP,I-PROBLEM
continued,JJ,B-NP,B-PROBLEM
drainage,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
The,DT,B-NP,B-PROBLEM
drainage,NN,I-NP,I-PROBLEM
afebrile,JJ,O,B-PROBLEM
a,DT,B-NP,B-PROBLEM
fistula,NN,I-NP,I-PROBLEM
from,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
bowel,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
afebrile,JJ,O,B-PROBLEM
erythema,JJ,O,B-PROBLEM
the,DT,B-NP,B-PROBLEM
wound,NN,I-NP,I-PROBLEM
his,PRP$,O,B-PROBLEM
wound,NN,B-NP,I-PROBLEM
bacteria,NN,I-NP,I-PROBLEM
remaineda,VBZ,O,B-PROBLEM
febrile,JJ,O,I-PROBLEM
his,PRP$,O,B-PROBLEM
wound,NN,B-NP,I-PROBLEM
afebrile,JJ,O,B-PROBLEM
His,PRP$,O,B-PROBLEM
wound,NN,B-NP,I-PROBLEM
erythema,NN,I-NP,B-PROBLEM
moderate,JJ,B-NP,B-PROBLEM
dark,JJ,I-NP,I-PROBLEM
drainage,NN,I-NP,I-PROBLEM
rheumatic,JJ,B-NP,B-PROBLEM
heart,NN,I-NP,I-PROBLEM
disease,NN,I-NP,I-PROBLEM
epistaxis,NN,B-NP,B-PROBLEM
occluded,VBN,O,B-PROBLEM
collaterals,NNS,B-NP,B-PROBLEM
epistaxis,NN,B-NP,B-PROBLEM
stage,NN,B-NP,B-PROBLEM
IIIB,NNP,I-NP,I-PROBLEM
carcinoma,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
cervix,NN,I-NP,I-PROBLEM
known,VBN,O,B-PROBLEM
periaortic,JJ,O,I-PROBLEM
and,CC,O,I-PROBLEM
splenic,JJ,B-NP,I-PROBLEM
metastases,NNS,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
cancer,NN,B-NP,I-PROBLEM
extensive,JJ,B-NP,B-PROBLEM
disease,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
uterus,NN,I-NP,I-PROBLEM
",",",",O,I-PROBLEM
ovarian,JJ,B-NP,I-PROBLEM
tubes,NN,I-NP,I-PROBLEM
",",",",O,I-PROBLEM
omentum,NN,B-NP,I-PROBLEM
and,CC,O,I-PROBLEM
the,DT,B-NP,I-PROBLEM
periaortic,JJ,I-NP,I-PROBLEM
lymph,NN,I-NP,I-PROBLEM
nodes,NNS,I-NP,I-PROBLEM
ileus,NN,B-NP,B-PROBLEM
uremia,NN,B-NP,B-PROBLEM
high,JJ,B-NP,B-PROBLEM
BUN,NNP,I-NP,I-PROBLEM
and,CC,O,I-PROBLEM
creatinine,NN,B-NP,I-PROBLEM
bilateral,JJ,B-NP,B-PROBLEM
hydronephrosis,NN,I-NP,I-PROBLEM
disease,NN,B-NP,B-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
pelvis,NN,I-NP,I-PROBLEM
bleeding,NN,I-NP,B-PROBLEM
other,JJ,I-NP,B-PROBLEM
abnormality,NN,I-NP,I-PROBLEM
metastatic,JJ,B-NP,B-PROBLEM
disease,NN,I-NP,I-PROBLEM
to,TO,O,I-PROBLEM
her,PRP$,O,I-PROBLEM
skin,NN,B-NP,I-PROBLEM
cerebral,JJ,B-NP,B-PROBLEM
atrophy,NN,I-NP,I-PROBLEM
any,DT,B-NP,B-PROBLEM
further,JJ,I-NP,I-PROBLEM
problem,NN,I-NP,I-PROBLEM
further,JJ,B-NP,B-PROBLEM
obstruction,NN,I-NP,I-PROBLEM
good,JJ,O,B-PROBLEM
the,DT,B-NP,B-PROBLEM
mental,JJ,I-NP,I-PROBLEM
instability,NN,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
cerebral,JJ,B-NP,I-PROBLEM
atrophy,NN,I-NP,I-PROBLEM
senility,NN,B-NP,B-PROBLEM
acute,JJ,B-NP,B-PROBLEM
inferior,JJ,I-NP,I-PROBLEM
myocardial,JJ,I-NP,I-PROBLEM
infarction,NN,I-NP,I-PROBLEM
hypertension,NN,B-NP,B-PROBLEM
chest,JJS,B-NP,B-PROBLEM
discomfort,NN,I-NP,I-PROBLEM
shortness,NN,B-NP,B-PROBLEM
of,IN,B-VP,I-PROBLEM
breath,NN,B-NP,I-PROBLEM
acute,JJ,B-NP,B-PROBLEM
inferior,JJ,I-NP,I-PROBLEM
myocardial,JJ,I-NP,I-PROBLEM
infarction,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
chest,JJS,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
pain,JJ,O,B-PROBLEM
complications,NNS,B-NP,B-PROBLEM
totally,RB,O,B-PROBLEM
occluded,VBN,O,I-PROBLEM
a,DT,O,B-PROBLEM
40%,CD,O,I-PROBLEM
stenosis,NN,B-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
proximal,JJ,I-NP,I-PROBLEM
segment,NN,I-NP,I-PROBLEM
mild,JJ,O,B-PROBLEM
atherosclerotic,JJ,O,I-PROBLEM
The,DT,B-NP,B-PROBLEM
RCA,NNP,I-NP,I-PROBLEM
occlusion,NN,I-NP,I-PROBLEM
RV,NNP,B-NP,B-PROBLEM
infarct,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
clear,JJ,I-NP,I-PROBLEM
A,NNP,I-NP,I-PROBLEM
wave,NN,I-NP,I-PROBLEM
RV,NNP,B-NP,B-PROBLEM
infarct,NN,I-NP,I-PROBLEM
quite,RB,O,B-PROBLEM
confused,JJ,O,I-PROBLEM
disoriented,VBN,O,B-PROBLEM
inferoposteriorakinesis,NN,B-NP,B-PROBLEM
hypokinesis,NN,I-NP,B-PROBLEM
the,DT,B-NP,B-PROBLEM
patient,NN,I-NP,I-PROBLEM
&apos;s,NNP,I-NP,I-PROBLEM
mental,JJ,B-NP,I-PROBLEM
status,NN,I-NP,I-PROBLEM
angina,NN,B-NP,B-PROBLEM
diabetes,NNS,B-NP,B-PROBLEM
type,VBP,O,I-PROBLEM
I,PRP,O,I-PROBLEM
anemia,NN,B-NP,B-PROBLEM
hypothyroidism,NN,B-NP,B-PROBLEM
gastroparesis,NN,B-NP,B-PROBLEM
GERD,NNP,B-NP,B-PROBLEM
hypoxic,NN,B-NP,B-PROBLEM
respiratory,NN,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
nausea,NN,B-NP,B-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
febrile,JJ,O,B-PROBLEM
gastroparesis,NN,I-NP,B-PROBLEM
continued,JJ,B-NP,B-PROBLEM
nause,NN,I-NP,I-PROBLEM
vomiting,VBG,O,B-PROBLEM
fever,NN,B-NP,B-PROBLEM
progressive,JJ,B-NP,B-PROBLEM
respiratory,NN,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
inspiratory,JJ,B-NP,B-PROBLEM
stridor,NN,I-NP,I-PROBLEM
soft,JJ,B-NP,B-PROBLEM
tissue,NN,I-NP,I-PROBLEM
swelling,VBG,O,I-PROBLEM
diabetes,NNS,B-NP,B-PROBLEM
type,VBP,O,I-PROBLEM
I,PRP,O,I-PROBLEM
hypothyroidism,NN,B-NP,B-PROBLEM
gastroparesis,NN,B-NP,B-PROBLEM
hypoxic,JJ,B-NP,B-PROBLEM
respiratory,JJ,I-NP,I-PROBLEM
failure,NN,I-NP,I-PROBLEM
perihilar,JJ,O,B-PROBLEM
and,CC,O,I-PROBLEM
bibasilar,JJ,B-NP,I-PROBLEM
opacities,NNS,I-NP,I-PROBLEM
pulmonary,JJ,B-NP,B-PROBLEM
edema,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
ARDS,NNP,B-NP,B-PROBLEM
gram-positive,JJ,B-NP,B-PROBLEM
cocci,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
sputum,NN,B-NP,I-PROBLEM
MRSA,NNP,B-NP,B-PROBLEM
her,PRP$,O,B-PROBLEM
MRSA,NNP,B-NP,I-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
soft,JJ,I-NP,I-PROBLEM
tissue,NN,I-NP,I-PROBLEM
swelling,VBG,O,I-PROBLEM
increased,VBN,O,B-PROBLEM
soft,JJ,B-NP,I-PROBLEM
tissues,NNS,I-NP,I-PROBLEM
within,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
pharynx,NN,I-NP,I-PROBLEM
trauma,NN,I-NP,B-PROBLEM
this,DT,O,B-PROBLEM
swelling,VBG,O,I-PROBLEM
hypoxic,JJ,O,B-PROBLEM
displaced,VBN,O,B-PROBLEM
stridor,NN,B-NP,B-PROBLEM
her,PRP$,O,B-PROBLEM
MRSA,NNP,B-NP,I-PROBLEM
pneumonia,NN,I-NP,I-PROBLEM
positive,JJ,B-NP,B-PROBLEM
blood,NN,I-NP,I-PROBLEM
cultures,NNS,I-NP,I-PROBLEM
gram,NN,B-NP,B-PROBLEM
negative,JJ,B-NP,I-PROBLEM
rods,NNS,I-NP,I-PROBLEM
enterobacter,JJ,B-NP,B-PROBLEM
cloacae,NN,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
bacteremia,NN,B-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
bacteremia,NN,B-NP,I-PROBLEM
positive,JJ,I-NP,B-PROBLEM
cultures,NNS,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
abscess,NN,I-NP,I-PROBLEM
inadequate,VB,O,B-PROBLEM
po,NN,B-NP,I-PROBLEM
contrast,NN,I-NP,I-PROBLEM
intake,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
cecal,JJ,I-NP,I-PROBLEM
cystic,JJ,I-NP,I-PROBLEM
lesion,NN,I-NP,I-PROBLEM
her,PRP$,O,B-PROBLEM
bacteremia,NN,B-NP,I-PROBLEM
persistently,RB,O,B-PROBLEM
borderline,JJ,B-NP,I-PROBLEM
hypoglycemic,NN,I-NP,I-PROBLEM
ketosis,NN,B-NP,B-PROBLEM
